的	白 	de dí dì					
蒋	艸 	jiăng jiāng					
潔	水 	jié					
焦	火 	jiāo qiáo					
勉	力 	miăn					
奪	大 	duó					
夺	大 	duó					
莱	艸 	lái					
萊	艸 	lái					
咖	口 	kā gā					
貪	貝 	tān					
贪	貝 	tān					
踢	足 	tī dié					
抄	手 	chāo					
跡	足 	jī					
鍾	金 	zhōng					
涯	水 	yá					
箭	竹 	jiàn					
誓	言 	shì					
穌	禾 	sū					
稣	禾 	sū					
涉	水 	shè dié					
稿	禾 	găo					
署	网 	shŭ					
療	疒 	liáo shuò					
疗	疒 	liáo					
礎	石 	chŭ					
础	石 	chŭ					
侨	人 	qiáo					
僑	人 	qiáo					
涵	水 	hán hàn					
雾	雨 	wù					
霧	雨 	wù méng					
粉	米 	fĕn					
俱	人 	jù					
彻	彳 	chè					
徹	彳 	chè					
谋	言 	móu					
謀	言 	móu					
屠	尸 	tú					
牺	牛 	xī suō					
犧	牛 	xī suō					
唷	口 	yō					
繞	糸 	rào răo					
绕	糸 	rào răo					
寿	寸 	shòu					
壽	士 	shòu					
爺	父 	yé					
爷	父 	yé					
騷	馬 	sāo săo xiāo					
骚	馬 	sāo săo					
氏	氏 	shì zhī jīng					
翼	羽 	yì					
云	二 	yún					
肚	肉 	dù dŭ					
吝	口 	lìn					
梁	木 	liáng					
咪	口 	mī					
繪	糸 	huì guì					
绘	糸 	huì					
廉	广 	lián					
飽	食 	băo					
饱	食 	băo					
鳴	鳥 	míng					
鸣	鳥 	míng					
貌	豸 	mào					
霹	雨 	pī					
炮	火 	pào bāo páo					
捐	手 	juān yuán					
啡	口 	pēi fēi					
炎	火 	yán yàn tán					
嗨	口 	hăi					
貢	貝 	gòng					
贡	貝 	gòng					
曼	曰 	màn mán					
壢	土 	lì					
鼻	鼻 	bí					
奉	大 	fèng					
铃	金 	líng					
鈴	金 	líng					
耗	耒 	hào máo mào					
恢	心 	huī					
融	虫 	róng					
筋	竹 	jīn qián					
撿	手 	jiăn liàn					
捡	手 	jiăn liàn					
儒	人 	rú					
飾	食 	shì chì					
饰	食 	shì					
禍	示 	huò					
祸	示 	huò					
侯	人 	hóu hòu					
唬	口 	hŭ					
挖	手 	wā					
幅	巾 	fú					
瞧	目 	qiáo					
廷	廴 	tíng					
咦	口 	yí					
撐	手 	chēng					
柳	木 	liŭ					
薄	艸 	bó báo bò bù					
黎	黍 	lí					
捲	手 	juăn quán					
嵐	山 	lán					
岚	山 	lán					
吊	口 	diào					
靂	雨 	lì					
雳	雨 	lì					
擠	手 	jĭ					
挤	手 	jĭ					
覽	見 	lăn làn					
览	見 	lăn					
迪	辵 	dí					
凌	冫 	líng					
茫	艸 	máng huăng					
燃	火 	rán					
瑪	玉 	mă					
玛	玉 	mă					
弘	弓 	hóng					
矛	矛 	máo					
敦	攴 	dūn duì diāo duī tuán tún					
瑜	玉 	yú					
锦	金 	jĭn					
錦	金 	jĭn					
枫	木 	fēng					
楓	木 	fēng					
賓	貝 	bīn bìn					
宾	宀 	bīn bìn					
梯	木 	tī tí					
琪	玉 	qí					
狱	犬 	yù					
獄	犬 	yù					
側	人 	cè zè					
侧	人 	cè zè					
咬	口 	yăo jiāo					
墨	土 	mò					
悶	心 	mèn mēn					
闷	門 	mèn mēn					
晴	日 	qíng					
怖	心 	bù					
乔	丿 	qiáo					
喬	口 	qiáo					
齒	齒 	chĭ					
齿	齒 	chĭ					
嶺	山 	lĭng					
仲	人 	zhòng					
韻	音 	yùn					
旭	日 	xù					
綜	糸 	zòng zōng zèng					
综	糸 	zòng zōng zèng					
兔	儿 	tù					
蹤	足 	zōng					
姿	女 	zī					
迈	辵 	38108					
邁	辵 	38108					
傢	人 	jiā					
誉	言 	yù					
譽	言 	yù					
褲	衣 	kù					
裤	衣 	kù					
孝	子 	xiào					
促	人 	cù					
驶	馬 	shĭ					
駛	馬 	shĭ					
仇	人 	chóu qiú					
粗	米 	cū					
妮	女 	nī ní					
牧	牛 	mù					
舟	舟 	zhōu					
糕	米 	gāo					
殼	殳 	ké qiào					
蝶	虫 	dié tiē					
兇	儿 	xiōng					
鍋	金 	guō guŏ					
锅	金 	guō					
懼	心 	jù					
惧	心 	jù					
銳	金 	ruì duì yuè					
吟	口 	yín					
亏	二 	yú kuī					
虧	虍 	kuī					
枝	木 	zhī qí					
耍	而 	shuă					
闊	門 	kuò					
阔	門 	kuò					
疼	疒 	téng					
拾	手 	shí jiè shè					
毅	殳 	yì					
刷	刀 	shuā shuà					
塗	土 	tú					
夹	大 	jiā jiá					
夾	大 	jiā jiá					
裂	衣 	liè liĕ					
陀	阜 	tuó duò					
哉	口 	zāi					
鄰	邑 	lín lìn					
邻	邑 	lín					
悅	心 	yuè					
契	大 	qì qiè xiè					
轰	車 	hōng					
轟	車 	hōng					
爵	爪 	jué					
屏	尸 	píng bĭng bìng					
驻	馬 	zhù					
駐	馬 	zhù					
賭	貝 	dŭ					
赌	貝 	dŭ					
蜂	虫 	fēng					
扇	戶 	shàn shān					
羞	羊 	xiū					
瓦	瓦 	wă wà					
疏	疋 	shū shù					
钦	金 	qīn					
欽	欠 	qīn qìn yín					
斗	斗 	dŏu dòu					
坤	土 	kūn					
堪	土 	kān					
洩	水 	xiè					
逆	辵 	nì					
抬	手 	tái					
哎	口 	āi					
饼	食 	bĭng					
餅	食 	bĭng					
弥	弓 	mí					
彌	弓 	mí					
貫	貝 	guàn wān					
贯	貝 	guàn wān					
綱	糸 	gāng					
纲	糸 	gāng					
惹	心 	rĕ					
翹	羽 	qiáo qiào					
翘	羽 	qiáo qiào					
墮	土 	duò huī					
堕	土 	duò huī					
狠	犬 	hĕn yín yán kĕn hăng					
頑	頁 	wán kūn					
顽	頁 	wán					
莎	艸 	shā suō suī					
擦	手 	cā					
赠	貝 	zèng					
贈	貝 	zèng					
凝	冫 	níng					
滋	水 	zī cí					
靖	青 	jìng jīng					
喂	口 	wèi					
允	儿 	yŭn					
彭	彡 	péng					
挺	手 	tĭng					
拋	手 	pāo					
愚	心 	yú					
征	彳 	zhēng					
辱	辰 	rù rŭ					
朗	月 	lăng					
余	人 	yú xú					
慰	心 	wèi					
禪	示 	chán shàn tán					
禅	示 	shàn chán					
蛙	虫 	wā jué					
秦	禾 	qín					
災	火 	zāi					
侦	人 	zhēn zhēng					
偵	人 	zhēn zhēng					
讚	言 	zàn					
椅	木 	yĭ yī					
夥	夕 	huŏ					
碗	石 	wăn					
丙	一 	bĭng					
卒	十 	zú cù					
荷	艸 	hé hè kē hē					
披	手 	pī					
趨	走 	qū cù qù cŏu					
趋	走 	qū cù					
劫	力 	jié					
迅	辵 	xùn					
笛	竹 	dí					
烤	火 	kăo					
肩	肉 	jiān xián					
矣	矢 	yĭ xián					
迁	辵 	qiān gān					
遷	辵 	qiān					
汝	水 	rŭ					
鹿	鹿 	lù lܲ					
缸	缶 	gāng hóng					
慾	心 	yù					
爐	火 	lú					
炉	火 	lú lú					
魅	鬼 	mèi					
丈	一 	zhàng					
巡	巛 	xún					
措	手 	cuò zé					
秤	禾 	chèng chēng chèn píng					
沿	水 	yán yàn					
痕	疒 	hén gèn					
濫	水 	làn jiàn lăn lán					
滥	水 	làn					
漲	水 	zhăng zhàng zhāng					
涨	水 	zhăng zhàng					
腰	肉 	yāo					
贱	貝 	jiàn					
賤	貝 	jiàn					
妥	女 	tuŏ					
液	水 	yè yì shì					
鹅	鳥 	é					
鵝	鳥 	é					
轨	車 	guĭ					
軌	車 	guĭ					
叔	又 	shū					
陵	阜 	líng					
贞	貝 	zhēn					
貞	貝 	zhēn					
扭	手 	niŭ					
漠	水 	mò					
祕	示 	mì					
虾	虫 	xiā há					
蝦	虫 	xiā há jiă					
捉	手 	zhuō					
謠	言 	yáo					
氛	气 	fēn					
胶	肉 	xiáo jiāo jiăo					
膠	肉 	jiāo jiăo					
递	辵 	dì dài					
遞	辵 	dì dài					
霖	雨 	lín					
雯	雨 	wén					
髒	骨 	zāng zăng					
倆	人 	liă liăng					
俩	人 	liă liăng					
旺	日 	wàng					
杉	木 	shān shā					
燕	火 	yàn yān					
寸	寸 	cùn					
茂	艸 	mào					
循	彳 	xún					
屍	尸 	shī					
鑽	金 	zuàn zuān					
钻	金 	zuàn zuān					
晃	日 	huăng huàng					
悄	心 	qiăo					
翅	羽 	chì					
芒	艸 	máng wáng huăng huāng					
斜	斗 	xié xiá yé					
廁	广 	cè cè					
呦	口 	yōu					
溜	水 	liū liù liú					
鶴	鳥 	hè					
鹤	鳥 	hè					
喪	口 	sāng sàng					
丧	一 	sāng sàng					
盒	皿 	hé ān					
摔	手 	shuāi					
愧	心 	kuì					
灑	水 	să lí xiăn xĭ shī					
津	水 	jīn					
盈	皿 	yíng					
脈	肉 	mò mài					
苗	艸 	miáo					
堡	土 	băo bŭ pù					
刑	刀 	xíng					
叉	又 	cha chă					
撒	手 	să					
虫	虫 	chóng huĭ					
缠	糸 	chán					
纏	糸 	chán					
遵	辵 	zūn					
臣	臣 	chén					
櫻	木 	yīng					
樱	木 	yīng					
扮	手 	bàn					
浑	水 	hún hùn gŭn					
渾	水 	hún hùn gŭn					
噁	口 	ĕ wù					
趁	走 	chèn zhēn chén					
呈	口 	chéng					
牢	牛 	láo lào lóu					
泊	水 	bó pó pō pò					
欠	欠 	qiàn quē					
慎	心 	shèn					
琳	玉 	lín					
倦	人 	juàn					
腐	肉 	fŭ					
蛇	虫 	shé yí tuó chí					
搜	手 	sōu					
患	心 	huàn					
伏	人 	fú					
陶	阜 	táo dào yáo					
柯	木 	kē					
劣	力 	liè					
疲	疒 	pí					
储	人 	chŭ chú					
儲	人 	chŭ chú					
桿	木 	găn					
祂	示 	tā					
塑	土 	sù					
蓉	艸 	róng					
繫	糸 	xì jì					
疾	疒 	jí					
泣	水 	qì lì sè					
粒	米 	lì					
渴	水 	kĕ hé jié kài					
璃	玉 	lí li					
茲	艸 	zī cī					
鄧	邑 	dèng					
邓	邑 	dèng					
歪	止 	wāi wăi					
栋	木 	dòng					
棟	木 	dòng					
腾	肉 	téng					
騰	馬 	téng					
玻	玉 	bō					
娟	女 	juān					
叡	又 	ruì					
返	辵 	făn					
併	人 	bìng					
弊	廾 	bì					
埋	土 	mái mán					
晉	日 	jìn					
晋	日 	jìn					
稀	禾 	xī					
鸭	鳥 	yā					
鴨	鳥 	yā					
汗	水 	hàn hán gān					
牡	牛 	mŭ					
畅	田 	chàng					
暢	日 	chàng					
添	水 	tiān tiàn					
妖	女 	yāo					
剂	刀 	jì					
劑	刀 	jì					
泛	水 	fàn fán fĕng fá					
柴	木 	chái zhài zì					
杰	木 	jié					
攜	手 	xī xí xié					
飆	風 	biāo					
飙	風 	biāo					
壇	土 	tán					
坛	土 	tán					
阮	阜 	ruăn juàn yuán					
匆	勹 	cōng					
唤	口 	huàn					
喚	口 	huàn					
昆	日 	kūn hùn					
拷	手 	kăo					
儂	人 	nóng					
侬	人 	nóng					
斥	斤 	chì					
垂	土 	chuí					
萍	艸 	píng					
勾	勹 	gōu gòu					
催	人 	cuī					
糖	米 	táng					
澎	水 	péng pēng					
踩	足 	căi kuí					
櫃	木 	guì					
蚁	虫 	yĭ					
蟻	虫 	yĭ jĭ					
販	貝 	fàn					
贩	貝 	fàn					
抑	手 	yì					
虹	虫 	hóng jiàng hòng gòng					
潘	水 	pān pán fān pàn bō					
坑	土 	kēng					
曹	曰 	cáo					
暮	日 	mù					
腹	肉 	fù					
煮	火 	zhŭ					
袭	衣 	xí					
襲	衣 	xí					
仿	人 	făng páng					
臂	肉 	bì bei bèi					
吻	口 	wĕn					
浴	水 	yù					
框	木 	kuàng kuāng					
敲	攴 	qiāo					
佑	人 	yòu					
体	人 	tĭ tī					
彷	彳 	páng făng					
謹	言 	jĭn					
谨	言 	jĭn					
岳	山 	yuè					
敘	攴 	xù					
贼	貝 	zéi zé					
賊	貝 	zéi zé					
罐	缶 	guàn					
寡	宀 	guă					
燦	火 	càn					
灿	火 	càn					
侶	人 	lyŭ					
攤	手 	tān					
摊	手 	tān					
芭	艸 	bā pā					
翠	羽 	cuì					
羨	羊 	xiàn yí yán yí					
占	卜 	zhān zhàn					
绵	糸 	mián					
綿	糸 	mián					
谜	言 	mí mèi mì					
謎	言 	mí mèi mì					
掩	手 	yăn					
喻	口 	yù yú					
秩	禾 	zhì					
煌	火 	huáng					
賠	貝 	péi					
赔	貝 	péi					
籤	竹 	qiān					
珊	玉 	shān					
馨	香 	xīn xīng					
札	木 	zhá					
脅	肉 	xié xiàn xī					
胁	肉 	xié					
旨	日 	zhĭ					
拘	手 	jū gōu					
紐	糸 	niŭ					
纽	糸 	niŭ					
哟	口 	yo					
喲	口 	yo					
蠢	虫 	chŭn					
詠	言 	yŏng					
匙	匕 	chí shi					
羯	羊 	jié					
拦	手 	lán					
攔	手 	lán					
膚	肉 	fū					
肤	肉 	fū					
骤	馬 	zòu zhòu					
驟	馬 	zòu zhòu					
嫁	女 	jià					
庙	广 	miào					
廟	广 	miào					
孕	子 	yùn					
俄	人 	é					
肝	肉 	gān					
罩	网 	zhào					
肠	肉 	cháng					
腸	肉 	cháng					
叛	又 	pàn					
匪	匚 	fĕi fēi					
倉	人 	cāng					
仓	人 	cāng					
卸	卩 	xiè					
祭	示 	jì zhài					
袍	衣 	páo bào					
謊	言 	huăng					
谎	言 	huăng					
埔	土 	bù pŭ					
几	几 	jī jĭ					
貿	貝 	mào					
贸	貝 	mào					
魏	鬼 	wèi wéi wēi					
禦	示 	yù					
踴	足 	yŏng					
蘋	艸 	pín píng					
卜	卜 	bŭ					
澄	水 	chéng dèng					
麟	鹿 	lín					
宵	宀 	xiāo					
陌	阜 	mò					
陋	阜 	lòu					
屈	尸 	qū					
衷	衣 	zhōng zhòng					
崗	山 	găng gāng					
岗	山 	găng gāng					
盪	皿 	dàng					
曆	日 	lì					
惟	心 	wéi					
舌	舌 	shé guā					
汇	水 	huì					
匯	匚 	huì					
誘	言 	yòu					
诱	言 	yòu					
桂	木 	guì					
娜	女 	nuó nà					
菁	艸 	jīng					
睹	目 	dŭ					
殿	殳 	diàn					
傅	人 	fù fū					
咒	口 	zhòu					
谦	言 	qiān qiàn					
謙	言 	qiān qiàn zhàn					
雀	隹 	què qiāo qiăo					
粽	米 	zòng					
卓	十 	zhuō					
鑰	金 	yào yuè					
钥	金 	yào yuè					
斌	文 	bīn					
袖	衣 	xiù					
钮	金 	niŭ					
鈕	金 	niŭ chŏu					
媚	女 	mèi					
叮	口 	dīng					
翰	羽 	hàn					
堯	土 	yáo					
尧	尢 	yáo					
盧	皿 	lú					
卢	卜 	lú					
捧	手 	pĕng					
壹	士 	yī yì					
愤	心 	fèn					
憤	心 	fèn					
猴	犬 	hóu					
粹	米 	cuì suì					
跨	足 	kuà kù kuā kuă					
螞	虫 	mă mà mā					
蚂	虫 	mă mā mà					
埃	土 	āi					
枉	木 	wăng					
卿	卩 	qīng					
撕	手 	sī xī					
紋	糸 	wén wèn					
纹	糸 	wén					
瑋	玉 	wĕi					
玮	玉 	wĕi					
划	刀 	huá huà					
嚣	口 	xiāo áo					
囂	口 	xiāo					
雕	隹 	diāo					
乳	乙 	rŭ					
膀	肉 	băng bàng pāng páng păng					
仗	人 	zhàng					
赫	赤 	hè xì shì					
筒	竹 	tŏng tóng dòng					
辜	辛 	gū					
桶	木 	tŏng					
彿	彳 	fú					
衰	衣 	shuāi cuī suō					
猎	犬 	xí liè què					
獵	犬 	liè					
譬	言 	pì					
勳	力 	xūn					
衫	衣 	shān					
恳	心 	kĕn					
懇	心 	kĕn					
琼	玉 	qióng					
瓊	玉 	qióng xuán					
冻	冫 	dòng					
凍	冫 	dòng					
戚	戈 	qī					
颖	頁 	yĭng					
穎	禾 	yĭng					
軸	車 	zhóu zhú zhòu					
轴	車 	zhóu zhú					
殖	歹 	zhí shì					
撤	手 	chè					
吋	口 	cùn					
寮	宀 	liáo					
潭	水 	tán xún yĭn dàn					
姻	女 	yīn					
躺	身 	tăng					
樑	木 	liáng					
昂	日 	áng					
泼	水 	pō bō					
潑	水 	pō bō					
腔	肉 	qiāng kòng					
庞	广 	páng					
龐	龍 	páng					
澳	水 	ào yù					
瞬	目 	shùn					
寺	寸 	sì					
銅	金 	tóng					
铜	金 	tóng					
闽	門 	mĭn					
閩	門 	mĭn					
肢	肉 	zhī shì					
纠	糸 	jiū jiŭ jiăo					
糾	糸 	jiūjiŭ jiăo					
丛	一 	cóng					
叢	又 	cóng					
卑	十 	bēi					
拓	手 	tuò tà zhí					
宰	宀 	zăi					
鍊	金 	liàn					
湊	水 	còu					
梭	木 	suō xùn					
董	艸 	dŏng zhŏng					
宅	宀 	zhái					
刮	刀 	guā					
胃	肉 	wèi					
芝	艸 	zhī					
淋	水 	lín lìn					
斃	攴 	bì					
毙	比 	bì					
骄	馬 	jiāo xiāo					
驕	馬 	jiāo xiāo jū qiáo					
奸	女 	jiān					
殷	殳 	yīn yān yĭn					
墓	土 	mù					
偿	人 	cháng					
償	人 	cháng					
冥	冖 	míng					
炒	火 	chăo					
潤	水 	rùn					
润	水 	rùn					
荡	艸 	dàng					
蕩	艸 	dàng tāng tàng					
妄	女 	wàng					
砸	石 	zá					
餓	食 	è					
饿	食 	è					
扎	手 	zhā zhá zā zhă					
伫	人 	zhù					
佇	人 	zhù					
尿	尸 	niào suī					
眷	目 	juàn					
濕	水 	shī qì tà xí					
湿	水 	shī qì					
盲	目 	máng wàng					
偽	人 	wĕi wèi					
僞	人 	wĕi wèi					
伪	人 	wĕi wèi					
践	足 	jiàn					
踐	足 	jiàn					
淫	水 	yín yàn yáo					
鼎	鼎 	dĭng zhēn					
貧	貝 	pín					
贫	貝 	pín					
谬	言 	miù					
謬	言 	miù					
矩	矢 	jŭ					
蟑	虫 	zhāng					
驳	馬 	bó					
駁	馬 	bó					
兆	儿 	zhào					
淵	水 	yuān					
渊	水 	yuān					
棍	木 	gùn hùn āo gŭn					
馳	馬 	chí					
驰	馬 	chí					
熙	火 	xī yí					
扶	手 	fú pú					
聘	耳 	pìn pìng					
斩	斤 	zhăn					
斬	斤 	zhăn					
穴	穴 	xuè xué jué					
槽	木 	cáo zāo					
詭	言 	guĭ					
诡	言 	guĭ					
昧	日 	mèi					
澡	水 	zăo cāo					
螂	虫 	láng					
辣	辛 	là					
匹	匸 	pĭ					
蚊	虫 	wén					
僧	人 	sēng					
柱	木 	zhù zhŭ					
挫	手 	cuò					
袁	衣 	yuán					
笼	竹 	lóng lŏng					
籠	竹 	lóng lŏng					
抖	手 	dŏu					
訝	言 	yà					
讶	言 	yà					
勃	力 	bó					
顛	頁 	diān tián					
颠	頁 	diān tián					
淘	水 	táo					
撲	手 	pū					
丘	一 	qiū					
吞	口 	tūn					
亭	亠 	tíng					
瘟	疒 	wēn wò yūn					
癢	疒 	yăng					
肆	聿 	sì tì					
漆	水 	qī					
詗	言 	xiòng					
尹	尸 	yĭn					
猩	犬 	xīng					
帖	巾 	tiē tiĕ tiè					
佐	人 	zuŏ					
昱	日 	yù yì					
咳	口 	ké hāi hái kài					
祈	示 	qí guĭ					
詹	言 	zhān shàn dàn					
毋	毋 	wú móu					
矮	矢 	ăi					
苑	艸 	yuàn yuăn yù yŭn yūn yuān					
贿	貝 	huì					
賄	貝 	huì					
緻	糸 	zhì					
婉	女 	wăn					
斤	斤 	jīn					
饒	食 	ráo					
饶	食 	ráo					
闯	門 	chuăng chèn					
闖	門 	chuăng chèn					
戈	戈 	gē					
歧	止 	qí					
諷	言 	fēng fĕng fèng					
讽	言 	fēng fĕng fèng					
熬	火 	áo āo					
診	言 	zhĕn					
诊	言 	zhĕn					
霜	雨 	shuāng					
谐	言 	xié					
諧	言 	xié					
掙	手 	zhēng zhèng					
挣	手 	zhēng zhèng					
钧	金 	37043					
鈞	金 	37043					
觅	見 	mì					
覓	見 	mì					
潇	水 	xiāo					
瀟	水 	xiāo					
屑	尸 	xiè					
痞	疒 	pĭ					
鋪	金 	pū pù					
铺	金 	pū pù					
黏	黍 	nián niān zhān					
遣	辵 	qiăn qiàn					
蹈	足 	dào dăo					
懸	心 	xuán					
悬	心 	xuán					
詮	言 	quán					
诠	言 	quán					
岡	山 	gāng					
冈	冂 	gāng					
蝴	虫 	hú					
汁	水 	zhī xié shī					
攏	手 	lŏng					
拢	手 	lŏng					
帆	巾 	fān					
壶	士 	hú					
壺	士 	hú					
瑟	玉 	sè					
雁	隹 	yàn					
辰	辰 	chén					
婷	女 	tíng					
穗	禾 	suì					
慨	心 	kăi					
哼	口 	hēng h5ng					
淒	水 	qī					
佬	人 	lăo					
膜	肉 	mò mó					
肃	聿 	sù					
肅	聿 	sù					
滤	水 	lܴ					
濾	水 	lܴ					
涂	水 	tú					
范	艸 	fàn					
恕	心 	shù					
酱	酉 	jiàng					
醬	酉 	jiàng					
纤	糸 	xiān jiān qiàn					
纖	糸 	xiān jiān					
輻	車 	fú					
辐	車 	fú					
懿	心 	yì					
稚	禾 	zhì					
郁	邑 	yù					
募	力 	mù					
豫	豕 	yù xù					
艇	舟 	tĭng					
枯	木 	kū					
宠	宀 	chŏng					
寵	宀 	chŏng					
遨	辵 	áo					
并	干 	bìng bīng					
渔	水 	yú					
漁	水 	yú					
淹	水 	yān yăn					
岩	山 	yán					
垫	土 	diàn diàn					
墊	土 	diàn diàn					
鞭	革 	biān					
缝	糸 	féng fèng					
縫	糸 	féng fèng					
骏	馬 	38139					
駿	馬 	38139					
歹	歹 	dăi è dāi					
斑	文 	bān					
甄	瓦 	zhēn zhèn juàn					
竿	竹 	gān gàn găn					
駝	馬 	tuó					
驼	馬 	tuó					
昔	日 	xí xī cuò					
崎	山 	qí					
冤	冖 	yuān					
棵	木 	kē kuăn kĕ					
僕	人 	pú					
疊	田 	dié					
叠	又 	dié					
箏	竹 	zhēng					
筝	竹 	zhēng					
剎	刀 	chà shā					
墜	土 	zhuì					
坠	土 	zhuì					
遮	辵 	zhē					
螺	虫 	luó					
煎	火 	jiān jiăn jiàn					
薰	艸 	xūn					
瘾	疒 	yĭn					
癮	疒 	yĭn					
蠟	虫 	là					
瞎	目 	xiā					
祷	示 	dăo					
禱	示 	dăo					
皓	白 	hào huī					
坎	土 	kăn					
蒂	艸 	dì					
焉	火 	yān yí					
魁	鬼 	kuí kuĭ kuài					
唇	口 	chún					
犬	犬 	quăn					
弓	弓 	gōng					
錶	金 	biăo					
籲	竹 	xū yù					
娛	女 	yú					
甩	用 	shuăi					
颱	風 	tái					
屎	尸 	shĭ xī					
沾	水 	zhān tiān tiē diàn chān					
撫	手 	fŭ hū					
抚	手 	fŭ hū					
傘	人 	săn					
伞	人 	săn					
嬌	女 	jiāo					
娇	女 	jiāo					
錫	金 	xí xī tì					
锡	金 	xí tì					
唔	口 	wú m2					
郝	邑 	hăo shì					
禿	禾 	tū					
淪	水 	lún lŭn guān					
沦	水 	lún					
剝	刀 	bō bāo bō					
揭	手 	jiē					
溶	水 	róng					
肇	聿 	zhào					
匿	匸 	nì					
趟	走 	tàng chēng tāng zhēng zhèng					
盆	皿 	pén					
湧	水 	yŏng					
坊	土 	fāng fáng					
碳	石 	tàn					
赴	走 	fù					
絃	糸 	xián					
磚	石 	zhuān tuán tuó					
砖	石 	zhuān tuán tuó					
栗	木 	lì					
狭	犬 	xiá					
狹	犬 	xiá					
廿	廾 	niàn					
菊	艸 	jú					
嘎	口 	gā gă					
瘦	疒 	shòu					
奴	女 	nú					
氧	气 	yăng					
頹	頁 	tuí					
璋	玉 	zhāng					
驢	馬 	lܲ					
驴	馬 	lܲ					
畏	田 	wèi wēi wĕi					
珮	玉 	pèi					
债	人 	zhài					
債	人 	zhài					
摧	手 	cuī cuò					
鹽	鹵 	yán yàn					
盐	皿 	yán yàn					
噹	口 	dāng					
噓	口 	xū					
挽	手 	wăn					
垦	土 	kĕn					
墾	土 	kĕn					
霞	雨 	xiá					
伐	人 	fá					
畔	田 	pàn					
韦	韋 	wéi					
韋	韋 	wéi huí					
姬	女 	jī					
逍	辵 	xiāo					
瑩	玉 	yíng yĭng					
莹	艸 	yíng					
脾	肉 	pí pái bì pì					
嘟	口 	dū					
帕	巾 	pà mò					
噪	口 	zào					
穫	禾 	huò					
縛	糸 	fú					
缚	糸 	fú					
晕	日 	yūn yùn					
暈	日 	yūn yùn					
裙	衣 	qún					
頸	頁 	jĭng gĕng					
颈	頁 	jĭng gĕng					
竊	穴 	qiè					
窃	穴 	qiè					
浊	水 	zhuó					
濁	水 	zhuó					
峽	山 	xiá					
峡	山 	xiá					
倘	人 	tăng cháng					
蘊	艸 	yùn wēn					
餵	食 	wèi					
囊	口 	náng					
霉	雨 	méi					
薇	艸 	wéi wēi					
剃	刀 	tì					
衍	行 	yăn yán					
诀	言 	jué					
訣	言 	jué					
廂	广 	xiāng					
脏	肉 	zāng zàng zăng					
臟	肉 	zàng					
枕	木 	zhĕn zhèn					
慌	心 	huāng huăng					
豔	豆 	yàn					
湘	水 	xiāng					
熄	火 	xí xī					
琦	玉 	qí					
蓄	艸 	xù					
削	刀 	xuē xiāo					
鵬	鳥 	péng fèng					
鹏	鳥 	péng					
券	刀 	quàn					
渺	水 	miăo					
臘	肉 	là					
伺	人 	sì cì					
蕾	艸 	lĕi					
矢	矢 	shĭ					
挨	手 	āi ái					
浆	水 	jiāng jiàng					
漿	水 	jiāng jiàng					
娶	女 	qŭ					
廚	广 	chú					
睜	目 	zhēng					
睁	目 	zhēng					
虐	虍 	nܥ4					
薛	艸 	xiē xuē					
蓬	艸 	péng pèng					
垮	土 	kuă					
暨	日 	jì					
鑼	金 	luó					
锣	金 	luó					
遂	辵 	suì suí					
喧	口 	xuān xuăn					
釘	金 	dīng dìng líng					
钉	金 	dīng dìng					
堵	土 	dŭ					
醇	酉 	chún					
嬰	女 	yīng					
婴	女 	yīng					
耕	耒 	gēng					
滨	水 	bīn					
濱	水 	bīn					
葬	艸 	zàng					
履	尸 	lܳ					
艰	艮 	jiān					
艱	艮 	jiān					
纬	糸 	wĕi					
緯	糸 	wĕi					
姦	女 	jiān					
挚	手 	zhì					
摯	手 	zhì					
鸦	鳥 	yā					
鴉	鳥 	yā yă					
蒸	艸 	zhēng					
葡	艸 	pú bèi					
嚐	口 	cháng					
甫	用 	fŭ pù pŭ					
璿	玉 	xuán					
霍	雨 	huò hè suŏ					
尉	寸 	wèi yù					
妓	女 	jì					
棉	木 	mián					
秉	禾 	bĭng					
爹	父 	diē					
撈	手 	lāo					
捞	手 	lāo					
绑	糸 	băng					
綁	糸 	băng					
翩	羽 	piān					
嘸	口 	fŭ					
呒	口 	fŭ					
呻	口 	shēn					
拂	手 	fú bì					
贰	貝 	èr					
貳	貝 	èr					
烛	火 	zhú					
燭	火 	zhú					
懲	心 	chéng					
惩	心 	chéng					
宴	宀 	yàn					
撇	手 	piĕ piē					
爍	火 	shuò luò yuè					
烁	火 	shuò luò					
汰	水 	tài					
歇	欠 	xiē yà					
癌	疒 	yán ái					
咕	口 	gū					
崩	山 	bēng					
腻	肉 	nì					
膩	肉 	nì					
撰	手 	zhuàn suàn xuăn					
樸	木 	pú pŭ					
棺	木 	guān guàn					
颂	頁 	sòng róng					
頌	頁 	sòng róng					
魄	鬼 	pò bó tuò					
舜	舛 	shùn					
蕃	艸 	fán fān bó pí bō					
寇	宀 	kòu					
萄	艸 	táo					
妆	女 	zhuāng					
妝	女 	zhuāng					
遼	辵 	liáo					
辽	辵 	liáo					
襄	衣 	xiāng					
薯	艸 	shŭ					
曝	日 	pù					
諮	言 	zī					
谘	言 	zī					
萝	艸 	luó					
蘿	艸 	luó					
颁	頁 	bān fén					
頒	頁 	bān fén					
菌	艸 	jùn jūn					
嚮	口 	xiàng					
氓	氏 	máng méng					
枚	木 	méi					
酬	酉 	chóu					
馮	馬 	féng píng					
冯	冫 	féng píng					
